Codigo de barrio;Codigo de distrito al que pertenece;Nombre de barrio;Nombre acentuado del barrio;Superficie (m2);Perimetro (m)
4;3;IBIZA               ;IBIZA               ;490863;2913
4;4;GUINDALERA          ;GUINDALERA          ;1598962;5194
4;5;HISPANOAMERICA      ;HISPANOAMÉRICA      ;1707406;6068
4;6;ALMENARA            ;ALMENARA            ;999369;4011
4;7;ALMAGRO             ;ALMAGRO             ;937095;4071
4;8;EL PILAR            ;EL PILAR            ;1359881;5155
4;9;VALDEZARZA          ;VALDEZARZA          ;1397672;5352
4;10;ALUCHE              ;ALUCHE              ;2849829;7267
4;11;VISTA ALEGRE        ;VISTA ALEGRE        ;1589877;6433
4;12;ALMENDRALES         ;ALMENDRALES         ;772281;3692
4;13;PALOMERAS SURESTE   ;PALOMERAS SURESTE   ;3118722;7827
4;14;MEDIA LEGUA         ;MEDIA LEGUA         ;999539;4674
4;15;CONCEPCION          ;CONCEPCIÓN          ;885875;5777
4;16;PINAR DEL REY       ;PINAR DEL REY       ;2632846;8271
4;17;LOS ROSALES         ;LOS ROSALES         ;1510919;5442
4;20;ARCOS               ;ARCOS               ;1305192;5074
4;21;TIMON               ;TIMÓN               ;9595252;15415
5;1;UNIVERSIDAD         ;UNIVERSIDAD         ;947641;4060
5;2;DELICIAS            ;DELICIAS            ;1057730;4755
5;3;LOS JERONIMOS       ;LOS JERÓNIMOS       ;1900627;5259
5;4;LISTA               ;LISTA               ;520399;3232
5;5;NUEVA ESPAÑA        ;NUEVA ESPAÑA        ;1788654;5588
5;6;VALDEACEDERAS       ;VALDEACEDERAS       ;1163421;5024
5;7;RIOS ROSAS          ;RIOS ROSAS          ;971220;4060
5;8;LA PAZ              ;LA PAZ              ;2159243;6347
5;9;VALDEMARIN          ;VALDEMARÍN          ;3305105;8300
5;10;CAMPAMENTO          ;CAMPAMENTO          ;9157875;16619
5;11;PUERTA BONITA       ;PUERTA BONITA       ;1607994;5982
5;12;MOSCARDO            ;MOSCARDÓ            ;908875;4248
5;13;PORTAZGO            ;PORTAZGO            ;1245274;4834
5;14;FONTARRON           ;FONTARRÓN           ;964574;6220
5;15;SAN PASCUAL         ;SAN PASCUAL         ;1052925;4458
5;16;APOSTOL SANTIAGO    ;APÓSTOL SANTIAGO    ;1204621;4726
5;17;LOS ANGELES         ;LOS ÁNGELES         ;1944811;5713
5;20;ROSAS               ;ROSAS               ;9388024;15290
5;21;CORRALEJOS          ;CORRALEJOS          ;4633048;9753
6;1;SOL                 ;SOL                 ;445128;2716
6;2;PALOS DE MOGUER     ;PALOS DE MOGUER     ;643542;3615
6;3;NIÑO JESUS          ;NIÑO JESÚS          ;643202;3548
6;4;CASTELLANA          ;CASTELLANA          ;773230;3745
6;5;CASTILLA            ;CASTILLA            ;2160431;6783
6;6;BERRUGUETE          ;BERRUGUETE          ;607050;3417
6;7;VALLEHERMOSO        ;VALLEHERMOSO        ;1068709;4221
6;8;VALVERDE            ;VALVERDE            ;8977802;12223
6;9;EL PLANTIO          ;EL PLANTÍO          ;3554549;9995
6;10;CUATRO VIENTOS      ;CUATRO VIENTOS      ;5419612;10146
6;11;BUENAVISTA          ;BUENAVISTA          ;5613749;11612
6;12;ZOFIO               ;ZOFIO               ;775103;3743
6;13;NUMANCIA            ;NUMANCIA            ;1849172;5364
6;14;VINATEROS           ;VINATEROS           ;593979;3721
6;15;SAN JUAN BAUTISTA   ;SAN JUAN BAUTISTA   ;1010843;4012
6;16;VALDEFUENTES        ;VALDEFUENTES        ;16778055;18779
6;20;REJAS               ;REJAS               ;5007305;13360
7;2;ATOCHA              ;ATOCHA              ;775561;4999
7;8;MIRASIERRA          ;MIRASIERRA          ;6975186;13135
7;9;ARAVACA             ;ARAVACA             ;5855800;10853
7;10;LAS AGUILAS         ;LAS ÁGUILAS         ;3609338;7626
7;11;ABRANTES            ;ABRANTES            ;1564207;5494
7;12;PRADOLONGO          ;PRADOLONGO          ;1095654;4785
7;15;COLINA              ;COLINA              ;559702;3175
7;20;CANILLEJAS          ;CANILLEJAS          ;1598075;5428
8;8;EL GOLOSO           ;EL GOLOSO           ;26509171;26489
8;15;ATALAYA             ;ATALAYA             ;248887;2240
8;20;EL SALVADOR         ;EL SALVADOR         ;1881765;6571
9;15;COSTILLARES         ;COSTILLARES         ;1427052;5635
