PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,TRANSPORTE,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,NUM,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,Column
2072,Museo Casa de la Moneda," El Museo Casa de la Moneda alberga colecciones numismáticas y de artes gráficas: importantes dibujos, estampas, loterías, sellos,... Se trata de la que posiblemente sea la mayor exposición numismática del mundo, cubriendo la historia de la moneda desde el siglo  VII a.C.  hasta nuestros días. ","  De martes a viernes ininterrumpidamente de 10 a 17:30 horas. Sábados, domingos y festivos de 10 a 14 horas.  Cerrado los lunes, y los días 1 y 6 de enero; 19 de marzo, 2, 3, 4 y 5 de abril; 1, 2, 3 y 15 de mayo; 24, 25 y 31 de diciembre.  "," Metro: O&acute;Donnell (línea 6)  Bus: 2, 28, 30, 56, 71, 143, C ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=12f8ef4d7f71c010VgnVCM1000000b205a0aRCRD,DOCTOR ESQUERDO,CALLE,36,MADRID,MADRID,28028,GOYA,SALAMANCA,443345,4475085,40.42258896520152,-3.6691501169061067,"915 666 544                      
", 
4112,Museo Cerralbo," Este Palacio, construido entre 1883 y 1893, fue concebido como vivienda y como museo para sede de las obras de arte reunidas por los Marqueses de Cerralbo y sus hijos, los Marqueses de Villa Huerta, durante los numerosos viajes que realizaron por España y Europa.   Objetivos y Fines de la Fundación Cerralbo (en la misma sede)    Velar porque las colecciones no se disgreguen ni enajenen y permanezcan reunidas en su sede de Ventura Rodríguez.   Conceder premios y becas para artistas e investigadores y celebrar actos culturales.   Colaborar en la custodia, exhibición y mejora del patrimonio que el Estado heredó del Marqués, perpetuando así su memoria.   ","  De martes a sábado de 9:30 a 15 horas   Jueves de 17 a 20 horas. Excepto festivos.   Domingos y festivos de 10 a 15 horas.    Cerrado todos los lunes, y los días 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre y una fiesta local.   "," Metro: Ventura Rodríguez (línea 3), Plaza de España (líneas 3, 10)  Bus: 1, 2, 3, 25, 39, 44, 46, 74, 75, 133, 138, 148, 202, 749, C1, C2 ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a4efb0c40971c010VgnVCM1000000b205a0aRCRD,VENTURA RODRIGUEZ,CALLE,17,MADRID,MADRID,28008,ARGUELLES,MONCLOA-ARAVACA,439489,4475246,40.42376732078657,-3.7146170388153497,915 473 646 / 47, 
18176,Museo Colecciones del Instituto de Crédito Oficial (ICO)," El Museo Colecciones  ICO  abrió sus puertas al público en marzo de 1996. Su objetivo era difundir la colección de arte del Instituto de Crédito Oficial, una de las más importantes de arte español contemporáneo.  ","  De martes a domingo: de 11 a 20 horas  Festivos: de 10 a  14 horas      Cerrado:  Todos los lunes del año (incluidos festivos) y los días 1 de enero, 1 de mayo y 25 de diciembre.   "," Metro: Banco de España (línea 2) , Sevilla (línea 2)  Bus: 5, 9, 15, 10, 14, 27, 34, 37, 45, 51, 150 ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2886444a2951c010VgnVCM2000000c205a0aRCRD,ZORRILLA,CALLE,3,MADRID,MADRID,28014,CORTES,CENTRO,440915,4474456,40.41675330128869,-3.6977346235068373,914 201 242, 
2068,Museo de Aeronáutica y Astronáutica," Emplazado en Cuatro Vientos desde 1966, tiene como objetivo narrar la historia y el desarrollo científico - técnico de la Aeronáutica y Astronaútica españolas con 150 aeronaves, uniformes, condecoraciones, maquetas, armamento y una destacada colección de motores en 70.000  m2  , distribuidos en siete hangares y siete plataformas al aire libre.  ","  De martes a domingo de 10 a 14 horas.  Cerrado los días 1 y 6 de enero, el mes de agosto, Jueves y Viernes Santos, 12 de octubre, 10 de diciembre (Patrona de Aviación), 24,25 y 31 de diciembre.  "," Metro: Cuatro Vientos (línea 10)  Bus: 518, 521, 522, 523 ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=90aaef4d7f71c010VgnVCM1000000b205a0aRCRD,A-5,AUTOVIA,10.5,MADRID,MADRID,28024,CUATRO VIENTOS,LATINA,432348,4469705,40.3733013700739,-3.798200034372686,915 091 690 (centralita), 
2091,Museo de América," Colecciones arqueológicas, etnográficas y de arte colonial traídas a España entre los siglos XVI y XX, cuya temática abarca desde la Prehistoria americana hasta la actualidad. Destacan el Tesoro de los Quimbayas, los Enonchados de la Conquista de México y las colecciones europeas más antiguas sobre los indios de las praderas.   Página web del Museo de América  ","  Horario:    De martes a sábado, de 9:30 a 15 horas  Jueves, apertura continuada de 9:30 a 19 horas  Domingos y festivos de 10 a 15 horas     Cerrado:  todos los lunes del año, día 1 y 6 de enero, día 1 de mayo, días 24, 25 y 31 de diciembre y un festivo local. "," Bus: 1, 12, 44, 82, 132  Metro: Moncloa (Líneas 3, 6) ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c929ef4d7f71c010VgnVCM1000000b205a0aRCRD,REYES CATOLICOS,AVENIDA,6,MADRID,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,438889,4476828,40.43797469898852,-3.721841843311362,915 439 437 / 915 492 641, 
2092,Museo de Astronomía y Geodesia," La colección se compone de objetos relacionados con el mundo de la Astronomía, como teodolitos, cronómetros, brújulas topográficas, sextantes giroscópicos, astrolabios de prisma, cámaras fotográficas para eclipse,  etc   ",Visita con cita previa,"Bus: 82 , F , 132 , I , G ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ee49ef4d7f71c010VgnVCM1000000b205a0aRCRD,CIENCIAS,PLAZA,3,MADRID,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,438528,4478102,40.44942472705852,-3.7262214898219117,913 944 615, 
2090,Museo de Calcografía Nacional, Expone colecciones de planchas y grabados.  ,"  De octubre a junio de lunes a viernes de 9 a 17 horas.  Verano: de julio a septiembre de 9 a 15 horas.   Agosto cerrado   En el caso de que se celebren exposiciones, consultar horario, ya que puede variar.  "," Metro: Sol (líneas 1, 2, 3), Sevilla (línea 2)  Bus: 5, 15, 20, 51, 52, 53, 150 ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7169ef4d7f71c010VgnVCM1000000b205a0aRCRD,ALCALA,CALLE,13,MADRID,MADRID,28014,SOL,CENTRO,440667,4474557,40.41764548040709,-3.700667044636178,915 240 864, 
2108,Museo de Farmacia Militar,"Superficie de 600  m/2  donde se exponen fondos de carácter histórico y científico. Las colecciones abarcan desde los orígenes de la ciencia farmacéutica, recreado en el laboratorio yatroquímico del siglo  XVII , hasta los actuales procesos para la elaboración de preparados."," De lunes a viernes de 10 a 13 horas, sólo visitas concertadas "," Metro: Embajadores (línea 3)  Bus: 6, 27, 34, 36, 41, 55, 59, 60, 78, 85, 116, 118, 119, 148, C2. E1  Renfe :  Embajadores ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ea0aef4d7f71c010VgnVCM1000000b205a0aRCRD,EMBAJADORES,CALLE,75,MADRID,MADRID,28012,PALOS DE MOGUER,ARGANZUELA,440636,4472954,40.403202661477145,-3.7008825895813167,"915 399 503 / 915 273 623                    
", 
4591873,Museo de la Biblioteca Nacional, El Museo cuenta con unos 1.400 m2 y se distribuye en ocho salas.  ," De martes a sábados de 10 a 20 horas. Domingos y festivos de 10 a 14 horas. Último pase 30 minutos antes del cierre.  Cerrados: 1 de mayo, 12 de octubre, 9 de noviembre, 8, 24, 25 y 31 de diciembre.  "," Metro: Colón, Serrano (línea 4)  Bus: 1, 5, 9, 14, 19, 21, 27, 37, 45, 51, 53, 74, 150  Cercanías: Recoletos ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=05920d3b4c503110VgnVCM2000000c205a0aRCRD,RECOLETOS,PASEO,20,MADRID,MADRID,28001,RECOLETOS,SALAMANCA,441505,4475144,40.42299290045965,-3.690844141741069,"915 807 759 / 915 168 967     
", 
2073,Museo de la Farmacia Hispana," Entre sus fondos destacan las colecciones de botes cerámicos, morteros y cajas de madera policromadas, relacionados con la práctica docente, cuatro boticas históricas y tres instalaciones que recrean un laboratorio alquimista, una botica árabe y la botica del Hospital de San Juan de las Afueras (Toledo). ", De lunes a viernes de 9 a 14 horas (periodo lectivo).  ," Metro: Ciudad Universitaria  Bus: 82 , 132 , G ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=58f9ef4d7f71c010VgnVCM1000000b205a0aRCRD,RAMON Y CAJAL,PLAZA,0,MADRID,MADRID,28040,CIUDAD UNIVERSITARIA,MONCLOA-ARAVACA,438524,4477559,40.4445328804645,-3.7262160043788155,913 941 797, 
2107,Museo de la Guardia Civil," El Museo se crea por Orden General del Cuerpo de 23 de junio de 1982 y se inaugura el día 12 de octubre de 1982.  Los fondos que forman el Museo han sido aportados o depositados bien por entidades públicas o privadas, bien por las distintas Unidades del Cuerpo, todos los cuales están vinculados de alguna manera a las vicisitudes e historia de la Guardia Civil desde su creación hasta nuestros días. Existen cuatro salas denominadas: banderas (rellano de la  2&ordf;  Planta), sala de arma, sala de uniformes y maniquies, sala de objetos varios y dioramas.  Los primeros indicios y escritos en los que se refleja la inquietud de recopilar objetos de marcado carácter histórico relacionados con las actividades de la Guardia Civil datan del año 1914 (desaparecerá en 1936 con motivo de la Guerra Civil), si bien sería a principios de 1982, cuando por iniciativa del entonces Director General, Jose Luis Aramburu Topete, se inician las labores para la formación del actual Museo de la Guardia Civil. ","  De lunes a viernes de 9 a 14 horas  Sábados, domingos y festivos cerrado    Visita:  previa identificación personal   Visita de grupos:  debe concertarse cita previa por escrito "," Metro: Guzmán el Bueno (línea 6, 7)  Bus: 2,  44, 45, C1, C2 ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=003aef4d7f71c010VgnVCM1000000b205a0aRCRD,GUZMAN EL BUENO,CALLE,110,MADRID,MADRID,28003,VALLEHERMOSO,CHAMBERI,439705,4477551,40.44454745648486,-3.7122900396933813,915 146 000 (extensiones 8477 / 8495 /48477), 
2114,Museo de la Real Academia de Bellas Artes de San Fernando,"Construido inicialmente para palacio de D. Juan de Goyeneche, el edificio fue adquirido por la Academia de Bellas Artes en 1773 y reformado bajo la dirección de Fernando Chueca Goitia en 1973 y la fachada por Diego de Villanueva en 1774.","  Colección permanente:  de martes a domingos de 10 a 15 horas., incluyendo festivos. Lunes cerrado.      Exposiciones temporales:  consultar telefónicamente  Cerrado mes de agosto y días 1 y 6 de enero, 1 y 30 de mayo, 9 de noviembre; 24, 25 y 31 de diciembre.  "," Metro: Sol (línea 3), Sevilla (línea 2)  Bus: 3, 5, 15, 20, 50, 51, 55, 53, 150 ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=924aef4d7f71c010VgnVCM1000000b205a0aRCRD,ALCALA,CALLE,13,MADRID,MADRID,28014,SOL,CENTRO,440667,4474557,40.41764548040709,-3.700667044636178,"915 240 864 (Centralita)                                    
", 
2112,Museo de San Isidro. Los orígenes de Madrid," Este espacio museográfico propone un viaje por la historia de la ciudad de Madrid desde la Prehistoria hasta el establecimiento de la Corte, a través de distintas salas como la de San Isidro, el Patio Renacentista, el Jardín Arqueobotánico o el Almacén Visitable.  ","   General:  de martes a domingo y festivos de 9:30 a 20 horas   Agosto:  de martes a viernes de 9:30 a 14:30 horas y sábados, domingos y festivos de 9:30 a 20 horas   Cerrado:  todos los lunes, 1 y 6 de enero, 1 de mayo y 24, 25 y 31 de diciembre  "," Metro: Latina , Tirso de Molina  Bus: 3 , 17 , 18 , 23 , 35 , 60 , 65 , 148 ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7b7aef4d7f71c010VgnVCM1000000b205a0aRCRD,SAN ANDRES,PLAZA,2,MADRID,MADRID,28005,PALACIO,CENTRO,439795,4473945,40.412069631779325,-3.710874934826838,913 667 415, 
85301,Museo de Sanidad e Higiene Pública," Con sede en el Instituto de Salud Carlos III, ocupa las antiguas dependencias del Laboratorio de Microbiología del Hospital del Rey. 300  m2  conservados tal cual su antiguo uso, con fondos de mobiliario, instrumental y bibliografía de los antiguos hospitales para enfermos infecciosos del complejo. Se resaltan hitos históricos relevantes en salud pública mediante láminas enmarcadas.  "," Sólo visitas de grupo con cita previa: de lunes a viernes, de 10 a 14 horas.  Cita previa por teléfono: 918 222 414  o a través del correo electrónico:  museodesanidad@isciii.es  "," Metro: Chamartín (líneas 1, 10), Plaza de Castilla (1, 9, 10)  Bus: 67, 124, 134, 135, 147  Renfe: Chamartín ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3e755c2cdc41c010VgnVCM2000000c205a0aRCRD,MONFORTE DE LEMOS,AVENIDA,5,MADRID,MADRID,28029,LA PAZ,FUENCARRAL-EL PARDO,441617,4480968,40.47546597881768,-3.6900603941123107,918 222 414  (Cita previa), 
187029,Museo del Atlético de Madrid," En el Museo del Atlético de Madrid &amp; Colección Pablo Ornaque se puede disfrutar de un recorrido histórico por el fútbol en general, y del Atlético de Madrid, en particular, donde los aficionados al fútbol no sólo contemplarán trofeos y objetos, sino también  un museo deportivo con piezas de gran valor museístico que alberga en sus vitrinas.   Se realizan visitas guiadas al estadio y a las instalaciones del Museo ","   Horarios del Museo    De martes a domingo, de 11 a 19 horas.  Días de partido: desde las 11 horas hasta el inicio del encuentro.     Horarios de las visitas guiadas    De martes a domingo a las 12, 13, 16:30 y 17:30 horas  Verano (de 28 de junio al 14 de septiembre): de martes a domingo a las 12, 13, 16:30 y 17:30 horas    "," Metro: Pirámides (línea 5), Marqués de Vadillo (línea 5)  Bus: 23, 34, 35, 36, 50, 116, 118, 119 ",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e41ad2bec675e010VgnVCM1000000b205a0aRCRD,VIRGEN DEL PUERTO,PASEO,67,MADRID,MADRID,28005,IMPERIAL,ARGANZUELA,438909,4472774,40.401455987482606,-3.721215933848041,913 650 931 / 902 260 403, 
2066,Museo del Ferrocarril de Madrid,Edificio de caracter monumental. Construido como cabecera de la línea Madrid - Extremadura - Portugal en el año 1880 por E. Cachelievre.,"  De martes a viernes de 9:30 a 15 horas.   Sábados de 10 a 15 horas.   Domingos de 10 a 15 horas.   Cerrado los lunes (incluidos festivos), del 16 al 31 de agosto (ambos inclusive), y los días 1 y 6 de enero, 1 de mayo y 25 de diciembre.  "," Metro: Delicias (línea 3)  Bus: 8, 19, 45, 47, 59, 85, 86  Renfe: Delicias ",1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=091c4291ae91f010VgnVCM2000000c205a0aRCRD,DELICIAS,PASEO,61,MADRID,MADRID,28045,DELICIAS,ARGANZUELA,441233,4472625,40.400281290485566,-3.693817192160563,"902 228 822                                                                                           
", 
