PK;NOMBRE;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;EMAIL;TIPO
1760;Biblioteca Pública Municipal Francisco Ibáñez (Chamartín); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura;  Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros; multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Concha Espina, Prosperidad   Bus:  9, 16, 29, 52;   Superficie:  543 metros cuadrados   Puestos de lectura:  94   Puestos de Internet:  24   Bibliotecarios:    ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0fce3d0b5e71c010VgnVCM1000000b205a0aRCRD;MANTUANO;CALLE;V;51;MADRID;MADRID;28002;CIUDAD JARDIN;CHAMARTIN;442766;4477922;40.44810636195716;-3.6762309620097398;91 510 37 56;bpfranciscoibanez@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
1754;Biblioteca Pública Municipal Gabriel García Márquez (Usera); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.   Espacios:  Sala de consulta y lectura; Salas de trabajo en grupo; Sala de actividades; Zona de publicaciones periódicas; Sala infantil y juvenil.  Servicios:  Préstamo de libros, multimedia y revistas; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. ";  Bus:  78, 116   Metro:  San Fermín - Orcasur  Renfe:  Orcasitas ;   Superficie:  1395 metros cuadrados   Puestos de lectura:  104   Puestos de Internet:  27   Bibliotecarios:  Luis Iglesias Cadarso  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e4bf3d0b5e71c010VgnVCM1000000b205a0aRCRD;PUEBLO;PLAZA;NUM;2;MADRID;MADRID;28041;ORCASUR;USERA;440582;4468910;40.366768324753416;-3.701141063083806;"91 318 86 91                                 
";bpgarciamarquez@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
1748;Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;"  Accesible a personas con discapacidad física. Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, multimedia y revistas (colección de libros en rumano); Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Villa de Vallecas (línea 1)  Bus:  54, 58, 103, 130, 142 ;   Superficie:  1.601 metros cuadrados   Puestos de lectura:  196   Puestos de Internet:  18   Bibliotecarios:  Javier Quevedo Arcos (director)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ca903d0b5e71c010VgnVCM1000000b205a0aRCRD;MONTE AYA;CALLE;NUM;12;MADRID;MADRID;28031;CASCO HISTORICO VALLECAS;VILLA DE VALLECAS;447248;4470096;40.37790196240434;-3.6227296605039516;91 380 66 33;bpgerardodiego@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
79941;Biblioteca Pública Municipal Gloria Fuertes (Barajas); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Alameda de Osuna   Bus:  105, 112, 115;"   Superficie:  672 metros cuadrados   Puestos de lectura:  119   Puestos de Internet:  9   Bibliotecarios:  M&ordf; Victoria Lázaro Castaño (directora)  ";1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1f64c2c6e051c010VgnVCM2000000c205a0aRCRD;LOGROÑO;AVENIDA;V;179;MADRID;MADRID;28042;CORRALEJOS;BARAJAS;449770;4479254;40.46055947228695;-3.5937461811785347;91 312 02 58;bpgloriafuertes@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
1750;Biblioteca Pública Municipal Huerta de la Salud (Hortaleza); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Parque de Santa María   Bus:  9, 72, 107, 201;   Superficie : 450 metros cuadrados    Puestos de lectura : 77   Puestos de Internet:  7   ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9c5879262ef5d010VgnVCM1000000b205a0aRCRD;MAR DE LAS ANTILLAS;CALLE;V;10;MADRID;MADRID;28033;PINAR DEL REY;HORTALEZA;445295;4480968;40.47571688103069;-3.64667257750353;91 764 52 43;bphuertasalud@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
51849;Biblioteca Pública Municipal Islas Filipinas (Ciudad Lineal); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi;  Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Bus:  líneas 15, 28, 110, 113, 210  Metro:  La Elipa (línea 2);   Superficie:  880 metros cuadrados   Puestos de lectura:  102   Puestos de Internet:  10   Bibliotecarios:  Mercedes de Diego Páez (directora)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=697c598d1351c010VgnVCM1000000b205a0aRCRD;NUESTRA SEÑORA DEL VILLAR;CALLE;NUM;6;MADRID;MADRID;28017;VENTAS;CIUDAD LINEAL;444814;4475167;40.42342659084215;-3.651841641389484;91 403 63 22;bpislasfilipinas@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
5975465;Biblioteca Pública Municipal Iván de Vargas (Centro);" De lunes a viernes de 8:30 a 21 horas; sábados de 9 a 18 horas y domingos de 9 a 14 horas. Los festivos y los fines de semana de agosto ,  la biblioteca permanecerá cerrada. ";" Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Sala de actividades; Zona de publicaciones periódicas; Sala infantil y juvenil; Sala de Internet; Sala Madrid.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. ";  Metro:  Sol, Latina, Ópera  Cercanías : Sol  Bus:  3, 17, 18, 23, 31, 50, 65 ;   Superficie:  2.884 metros cuadrados   Puestos de lectura:  164   Puestos de Internet:  18   Bibliotecarios:  Pilar Garrido Salcedo (directora)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD;SAN JUSTO;CALLE;V;5;MADRID;MADRID;28005;PALACIO;CENTRO;439884;4474170;40.41410290844665;-3.7098591212735883;917 586 211;bpivandevargas@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
115056;Biblioteca Pública Municipal José Hierro (San Blas-Canillejas); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Sala de actividades; Zona de publicaciones periódicas; Sala infantil y juvenil; Comiteca.   Servicios:  Préstamo de libros, multimedia y revistas (colección de libros en rumano); Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.  "; Metro:  Las Musas   Bus:  38, 48, 140, 153   Autobuses interurbanos:  286, 288, 289;   Superficie:  1.866 metros cuadrados   Puestos de lectura:  224   Puestos de Internet:  13   Bibliotecarios:  María José Hervás Fernández (directora)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=338879262ef5d010VgnVCM1000000b205a0aRCRD;MARIA SEVILLA DIAGO;CALLE;V;15;MADRID;MADRID;28022;ROSAS;SAN BLAS-CANILLEJAS;448323;4476237;40.433291625973624;-3.6105662311927453;91 313 55 28;bpjosehierro@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
1790;Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física (sólo en la planta baja).   Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Barrio del Pilar, Peñagrande   Bus:  49, 83, 128, 132, 134, 137;   Superficie:  1.276 metros cuadrados   Puestos de lectura:  204   Puestos de Internet:  17   Bibliotecarios:  Montserrat Cillero Perfecto (directora)   Antigua Biblioteca La Vaguada ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=70d879262ef5d010VgnVCM1000000b205a0aRCRD;MONFORTE DE LEMOS;AVENIDA;V;38;MADRID;MADRID;28029;EL PILAR;FUENCARRAL-EL PARDO;439977;4481329;40.47860087334554;-3.7094408342979954;91 588 68 91;bpjosesaramago@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
1756;Biblioteca Pública Municipal La Chata (Carabanchel); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, multimedia y revistas (colección de libros en rumano); Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.  "; Metro:  Eugenia de Montijo, Carabanchel   Bus:  34 , 35;   Superficie:  1.600 metros cuadrados   Puestos de lectura:  223   Puestos de Internet:  13   Bibliotecarios:  Hortensia Barderas Álvarez (directora)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d9a879262ef5d010VgnVCM1000000b205a0aRCRD;GENERAL RICARDOS;CALLE;NUM;252;MADRID;MADRID;28025;VISTA ALEGRE;CARABANCHEL;437123;4470774;40.38330593504341;-3.7420633861175796;91 422 05 33;bplachata@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
185595;Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. "; Metro:  Francos Rodríguez   Bus:  44, 64, 126, 127, 128, 132;   Superficie:  1.372 metros cuadrados   Puestos de lectura:  151   Puestos de Internet:  11   Bibliotecarios:  María Ángeles Salvador Durántez (directora)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b5ca89e2c9e5d010VgnVCM1000000b205a0aRCRD;FRANCOS RODRIGUEZ;CALLE;V;67;MADRID;MADRID;28039;BELLAS VISTAS;TETUAN;439865;4478987;40.45749513485957;-3.710539712535917;"91 398 07 23                                                                                                                                 
91 398 07 26";bpvazquezmontalban@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
1759;Biblioteca Pública Municipal María Zambrano (Tetuán); De lunes a viernes de 8:30 a 21 horas. Festivos cerrados. ;" Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, E-books, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía. ";  Metro:  Ventilla  Bus:  42 ;   Superficie:  1.551 metros cuadrados   Puestos de lectura:  123   Puestos de Internet:  21   Bibliotecarios:  Elena Pinedo López (directora)  ;1;http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=74703d0b5e71c010VgnVCM1000000b205a0aRCRD;DONOSO;PLAZA;V;5;MADRID;MADRID;28029;ALMENARA;TETUAN;440967;4480259;40.46903299144094;-3.6976620067964996;91 733 90 43;bpmariazambrano@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas
