"Año","Comunidad autónoma","Provincia","Origen de la denuncia","Número de denuncias por violencia de género"
"Año 2009","Andalucía","Málaga","Atestados policiales - por intervención directa policial","681.0"
"Año 2009","Andalucía","Málaga","Parte de lesiones","1352.0"
"Año 2009","Andalucía","Málaga","Servicios asistencia-Terceros  en general","40.0"
"Año 2009","Andalucía","Sevilla","Presentada directamente por victima","710.0"
"Año 2009","Andalucía","Sevilla","Presentada directamente por familiares","15.0"
"Año 2009","Andalucía","Sevilla","Atestados policiales - con denuncia victima","3462.0"
"Año 2009","Andalucía","Sevilla","Atestados policiales - con denuncia familiar","8.0"
"Año 2009","Andalucía","Sevilla","Atestados policiales - por intervención directa policial","400.0"
"Año 2009","Andalucía","Sevilla","Parte de lesiones","943.0"
"Año 2009","Andalucía","Sevilla","Servicios asistencia-Terceros  en general","180.0"
"Año 2009","Aragón","Huesca","Presentada directamente por victima","50.0"
"Año 2009","Aragón","Huesca","Presentada directamente por familiares","5.0"
"Año 2009","Aragón","Huesca","Atestados policiales - con denuncia victima","229.0"
"Año 2009","Aragón","Huesca","Atestados policiales - con denuncia familiar","4.0"
"Año 2009","Aragón","Huesca","Atestados policiales - por intervención directa policial","32.0"
"Año 2009","Aragón","Huesca","Parte de lesiones","44.0"
"Año 2009","Aragón","Huesca","Servicios asistencia-Terceros  en general","7.0"
"Año 2009","Aragón","Teruel","Presentada directamente por victima","82.0"
"Año 2009","Aragón","Teruel","Presentada directamente por familiares","0.0"
"Año 2009","Aragón","Teruel","Atestados policiales - con denuncia victima","71.0"
"Año 2009","Aragón","Teruel","Atestados policiales - con denuncia familiar","0.0"
"Año 2009","Aragón","Teruel","Atestados policiales - por intervención directa policial","2.0"
"Año 2009","Aragón","Teruel","Parte de lesiones","0.0"
"Año 2009","Aragón","Teruel","Servicios asistencia-Terceros  en general","0.0"
"Año 2009","Aragón","Zaragoza","Presentada directamente por victima","60.0"
"Año 2009","Aragón","Zaragoza","Presentada directamente por familiares","2.0"
"Año 2009","Aragón","Zaragoza","Atestados policiales - con denuncia victima","1604.0"
"Año 2009","Aragón","Zaragoza","Atestados policiales - con denuncia familiar","78.0"
"Año 2009","Aragón","Zaragoza","Atestados policiales - por intervención directa policial","254.0"
"Año 2009","Aragón","Zaragoza","Parte de lesiones","303.0"
"Año 2009","Aragón","Zaragoza","Servicios asistencia-Terceros  en general","21.0"
"Año 2009","Principado de Asturias","Asturias","Presentada directamente por victima","345.0"
"Año 2009","Principado de Asturias","Asturias","Presentada directamente por familiares","6.0"
"Año 2009","Principado de Asturias","Asturias","Atestados policiales - con denuncia victima","1592.0"
"Año 2009","Principado de Asturias","Asturias","Atestados policiales - con denuncia familiar","20.0"
"Año 2009","Principado de Asturias","Asturias","Atestados policiales - por intervención directa policial","111.0"
"Año 2009","Principado de Asturias","Asturias","Parte de lesiones","280.0"
"Año 2009","Principado de Asturias","Asturias","Servicios asistencia-Terceros  en general","19.0"
"Año 2009","Islas Baleares","Islas Baleares","Presentada directamente por victima","442.0"
"Año 2009","Islas Baleares","Islas Baleares","Presentada directamente por familiares","36.0"
"Año 2009","Islas Baleares","Islas Baleares","Atestados policiales - con denuncia victima","2656.0"
"Año 2009","Islas Baleares","Islas Baleares","Atestados policiales - con denuncia familiar","63.0"
"Año 2009","Islas Baleares","Islas Baleares","Atestados policiales - por intervención directa policial","588.0"
"Año 2009","Islas Baleares","Islas Baleares","Parte de lesiones","635.0"
"Año 2009","Islas Baleares","Islas Baleares","Servicios asistencia-Terceros  en general","33.0"
"Año 2009","Canarias","Las Palmas","Presentada directamente por victima","114.0"
"Año 2009","Canarias","Las Palmas","Presentada directamente por familiares","7.0"
"Año 2009","Canarias","Las Palmas","Atestados policiales - con denuncia victima","3641.0"
"Año 2009","Canarias","Las Palmas","Atestados policiales - con denuncia familiar","39.0"
"Año 2009","Canarias","Las Palmas","Atestados policiales - por intervención directa policial","355.0"
"Año 2009","Canarias","Las Palmas","Parte de lesiones","970.0"
"Año 2009","Canarias","Las Palmas","Servicios asistencia-Terceros  en general","37.0"
"Año 2009","Canarias","Santa Cruz de Tenerife","Presentada directamente por victima","355.0"
"Año 2009","Canarias","Santa Cruz de Tenerife","Presentada directamente por familiares","10.0"
"Año 2009","Canarias","Santa Cruz de Tenerife","Atestados policiales - con denuncia victima","2897.0"
"Año 2009","Canarias","Santa Cruz de Tenerife","Atestados policiales - con denuncia familiar","25.0"
"Año 2009","Canarias","Santa Cruz de Tenerife","Atestados policiales - por intervención directa policial","210.0"
"Año 2009","Canarias","Santa Cruz de Tenerife","Parte de lesiones","258.0"
"Año 2009","Canarias","Santa Cruz de Tenerife","Servicios asistencia-Terceros  en general","64.0"
"Año 2009","Cantabria","Cantabria","Presentada directamente por victima","169.0"
"Año 2009","Cantabria","Cantabria","Presentada directamente por familiares","0.0"
"Año 2009","Cantabria","Cantabria","Atestados policiales - con denuncia victima","711.0"
"Año 2009","Cantabria","Cantabria","Atestados policiales - con denuncia familiar","25.0"
"Año 2009","Cantabria","Cantabria","Atestados policiales - por intervención directa policial","115.0"
"Año 2009","Cantabria","Cantabria","Parte de lesiones","128.0"
"Año 2009","Cantabria","Cantabria","Servicios asistencia-Terceros  en general","24.0"
"Año 2009","Castilla y León","Ávila","Presentada directamente por victima","43.0"
"Año 2009","Castilla y León","Ávila","Presentada directamente por familiares","4.0"
"Año 2009","Castilla y León","Ávila","Atestados policiales - con denuncia victima","247.0"
"Año 2009","Castilla y León","Ávila","Atestados policiales - con denuncia familiar","8.0"
"Año 2009","Castilla y León","Ávila","Atestados policiales - por intervención directa policial","54.0"
"Año 2009","Castilla y León","Ávila","Parte de lesiones","74.0"
"Año 2009","Castilla y León","Ávila","Servicios asistencia-Terceros  en general","0.0"
"Año 2009","Castilla y León","Burgos","Presentada directamente por victima","98.0"
"Año 2009","Castilla y León","Burgos","Presentada directamente por familiares","4.0"
"Año 2009","Castilla y León","Burgos","Atestados policiales - con denuncia victima","518.0"
"Año 2009","Castilla y León","Burgos","Atestados policiales - con denuncia familiar","1.0"
"Año 2009","Castilla y León","Burgos","Atestados policiales - por intervención directa policial","104.0"
"Año 2009","Castilla y León","Burgos","Parte de lesiones","70.0"
"Año 2009","Castilla y León","Burgos","Servicios asistencia-Terceros  en general","3.0"
"Año 2009","Castilla y León","León","Presentada directamente por victima","90.0"
"Año 2009","Castilla y León","León","Presentada directamente por familiares","0.0"
"Año 2009","Castilla y León","León","Atestados policiales - con denuncia victima","576.0"
"Año 2009","Castilla y León","León","Atestados policiales - con denuncia familiar","0.0"
"Año 2009","Castilla y León","León","Atestados policiales - por intervención directa policial","103.0"
"Año 2009","Castilla y León","León","Parte de lesiones","70.0"
"Año 2009","Castilla y León","León","Servicios asistencia-Terceros  en general","0.0"
"Año 2009","Castilla y León","Palencia","Presentada directamente por victima","6.0"
"Año 2009","Castilla y León","Palencia","Presentada directamente por familiares","0.0"
"Año 2009","Castilla y León","Palencia","Atestados policiales - con denuncia victima","236.0"
"Año 2009","Castilla y León","Palencia","Atestados policiales - con denuncia familiar","5.0"
"Año 2009","Castilla y León","Palencia","Atestados policiales - por intervención directa policial","15.0"
"Año 2009","Castilla y León","Palencia","Parte de lesiones","21.0"
"Año 2009","Castilla y León","Palencia","Servicios asistencia-Terceros  en general","1.0"
"Año 2009","Castilla y León","Salamanca","Presentada directamente por victima","180.0"
"Año 2009","Castilla y León","Salamanca","Presentada directamente por familiares","0.0"
"Año 2009","Castilla y León","Salamanca","Atestados policiales - con denuncia victima","350.0"
"Año 2009","Castilla y León","Salamanca","Atestados policiales - con denuncia familiar","2.0"
"Año 2009","Castilla y León","Salamanca","Atestados policiales - por intervención directa policial","4.0"
"Año 2009","Castilla y León","Salamanca","Parte de lesiones","37.0"
"Año 2009","Castilla y León","Salamanca","Servicios asistencia-Terceros  en general","0.0"
"Año 2009","Castilla y León","Segovia","Presentada directamente por victima","24.0"
"Año 2009","Castilla y León","Segovia","Presentada directamente por familiares","0.0"
"Año 2009","Castilla y León","Segovia","Atestados policiales - con denuncia victima","162.0"
"Año 2009","Castilla y León","Segovia","Atestados policiales - con denuncia familiar","0.0"
"Año 2009","Castilla y León","Segovia","Atestados policiales - por intervención directa policial","66.0"
"Año 2009","Castilla y León","Segovia","Parte de lesiones","21.0"
"Año 2009","Castilla y León","Segovia","Servicios asistencia-Terceros  en general","0.0"
"Año 2009","Castilla y León","Soria","Presentada directamente por victima","15.0"
"Año 2009","Castilla y León","Soria","Presentada directamente por familiares","0.0"
"Año 2009","Castilla y León","Soria","Atestados policiales - con denuncia victima","120.0"
"Año 2009","Castilla y León","Soria","Atestados policiales - con denuncia familiar","6.0"
"Año 2009","Castilla y León","Soria","Atestados policiales - por intervención directa policial","14.0"
"Año 2009","Castilla y León","Soria","Parte de lesiones","14.0"
"Año 2009","Castilla y León","Soria","Servicios asistencia-Terceros  en general","2.0"
"Año 2009","Castilla y León","Valladolid","Presentada directamente por victima","50.0"
"Año 2009","Castilla y León","Valladolid","Presentada directamente por familiares","0.0"
"Año 2009","Castilla y León","Valladolid","Atestados policiales - con denuncia victima","986.0"
"Año 2009","Castilla y León","Valladolid","Atestados policiales - con denuncia familiar","1.0"
"Año 2009","Castilla y León","Valladolid","Atestados policiales - por intervención directa policial","194.0"
"Año 2009","Castilla y León","Valladolid","Parte de lesiones","197.0"
"Año 2009","Castilla y León","Valladolid","Servicios asistencia-Terceros  en general","1.0"
"Año 2009","Castilla y León","Zamora","Presentada directamente por victima","43.0"
"Año 2009","Castilla y León","Zamora","Presentada directamente por familiares","1.0"
"Año 2009","Castilla y León","Zamora","Atestados policiales - con denuncia victima","226.0"
"Año 2009","Castilla y León","Zamora","Atestados policiales - con denuncia familiar","1.0"
"Año 2009","Castilla y León","Zamora","Atestados policiales - por intervención directa policial","0.0"
"Año 2009","Castilla y León","Zamora","Parte de lesiones","20.0"
"Año 2009","Castilla y León","Zamora","Servicios asistencia-Terceros  en general","2.0"
"Año 2009","Castilla - La Mancha","Albacete","Presentada directamente por victima","34.0"
"Año 2009","Castilla - La Mancha","Albacete","Presentada directamente por familiares","0.0"
"Año 2009","Castilla - La Mancha","Albacete","Atestados policiales - con denuncia victima","722.0"
"Año 2009","Castilla - La Mancha","Albacete","Atestados policiales - con denuncia familiar","9.0"
"Año 2009","Castilla - La Mancha","Albacete","Atestados policiales - por intervención directa policial","97.0"
"Año 2009","Castilla - La Mancha","Albacete","Parte de lesiones","59.0"
"Año 2009","Castilla - La Mancha","Albacete","Servicios asistencia-Terceros  en general","38.0"
"Año 2009","Castilla - La Mancha","Ciudad Real","Presentada directamente por victima","119.0"
"Año 2009","Castilla - La Mancha","Ciudad Real","Presentada directamente por familiares","2.0"
"Año 2009","Castilla - La Mancha","Ciudad Real","Atestados policiales - con denuncia victima","742.0"
"Año 2009","Castilla - La Mancha","Ciudad Real","Atestados policiales - con denuncia familiar","21.0"
"Año 2009","Castilla - La Mancha","Ciudad Real","Atestados policiales - por intervención directa policial","97.0"
"Año 2009","Castilla - La Mancha","Ciudad Real","Parte de lesiones","89.0"
"Año 2009","Castilla - La Mancha","Ciudad Real","Servicios asistencia-Terceros  en general","10.0"
"Año 2009","Castilla - La Mancha","Cuenca","Presentada directamente por victima","9.0"
"Año 2009","Castilla - La Mancha","Cuenca","Presentada directamente por familiares","0.0"
"Año 2009","Castilla - La Mancha","Cuenca","Atestados policiales - con denuncia victima","332.0"
"Año 2009","Castilla - La Mancha","Cuenca","Atestados policiales - con denuncia familiar","7.0"
"Año 2009","Castilla - La Mancha","Cuenca","Atestados policiales - por intervención directa policial","24.0"
"Año 2009","Castilla - La Mancha","Cuenca","Parte de lesiones","21.0"
"Año 2009","Castilla - La Mancha","Cuenca","Servicios asistencia-Terceros  en general","12.0"
"Año 2009","Castilla - La Mancha","Guadalajara","Presentada directamente por victima","198.0"
"Año 2009","Castilla - La Mancha","Guadalajara","Presentada directamente por familiares","3.0"
"Año 2009","Castilla - La Mancha","Guadalajara","Atestados policiales - con denuncia victima","878.0"
"Año 2009","Castilla - La Mancha","Guadalajara","Atestados policiales - con denuncia familiar","7.0"
"Año 2009","Castilla - La Mancha","Guadalajara","Atestados policiales - por intervención directa policial","92.0"
"Año 2009","Castilla - La Mancha","Guadalajara","Parte de lesiones","116.0"
"Año 2009","Castilla - La Mancha","Guadalajara","Servicios asistencia-Terceros  en general","60.0"
"Año 2009","Castilla - La Mancha","Toledo","Presentada directamente por victima","348.0"
"Año 2009","Castilla - La Mancha","Toledo","Presentada directamente por familiares","8.0"
"Año 2009","Castilla - La Mancha","Toledo","Atestados policiales - con denuncia victima","959.0"
"Año 2009","Castilla - La Mancha","Toledo","Atestados policiales - con denuncia familiar","1.0"
"Año 2009","Castilla - La Mancha","Toledo","Atestados policiales - por intervención directa policial","209.0"
"Año 2009","Castilla - La Mancha","Toledo","Parte de lesiones","45.0"
"Año 2009","Castilla - La Mancha","Toledo","Servicios asistencia-Terceros  en general","2.0"
"Año 2009","Cataluña","Barcelona","Presentada directamente por victima","685.0"
"Año 2009","Cataluña","Barcelona","Presentada directamente por familiares","19.0"
"Año 2009","Cataluña","Barcelona","Atestados policiales - con denuncia victima","7818.0"
"Año 2009","Cataluña","Barcelona","Atestados policiales - con denuncia familiar","168.0"
"Año 2009","Cataluña","Barcelona","Atestados policiales - por intervención directa policial","2526.0"
"Año 2009","Cataluña","Barcelona","Parte de lesiones","1031.0"
"Año 2009","Cataluña","Barcelona","Servicios asistencia-Terceros  en general","15.0"
"Año 2009","Cataluña","Girona","Presentada directamente por victima","117.0"
"Año 2009","Cataluña","Girona","Presentada directamente por familiares","0.0"
"Año 2009","Cataluña","Girona","Atestados policiales - con denuncia victima","1619.0"
"Año 2009","Cataluña","Girona","Atestados policiales - con denuncia familiar","13.0"
"Año 2009","Cataluña","Girona","Atestados policiales - por intervención directa policial","303.0"
"Año 2009","Cataluña","Girona","Parte de lesiones","58.0"
"Año 2009","Cataluña","Girona","Servicios asistencia-Terceros  en general","0.0"
"Año 2009","Cataluña","Lleida","Presentada directamente por victima","120.0"
"Año 2009","Cataluña","Lleida","Presentada directamente por familiares","0.0"
"Año 2009","Cataluña","Lleida","Atestados policiales - con denuncia victima","795.0"
"Año 2009","Cataluña","Lleida","Atestados policiales - con denuncia familiar","11.0"
"Año 2009","Cataluña","Lleida","Atestados policiales - por intervención directa policial","121.0"
"Año 2009","Cataluña","Lleida","Parte de lesiones","18.0"
"Año 2009","Cataluña","Lleida","Servicios asistencia-Terceros  en general","3.0"
"Año 2009","Cataluña","Tarragona","Presentada directamente por victima","379.0"
"Año 2009","Cataluña","Tarragona","Presentada directamente por familiares","2.0"
"Año 2009","Cataluña","Tarragona","Atestados policiales - con denuncia victima","1798.0"
"Año 2009","Cataluña","Tarragona","Atestados policiales - con denuncia familiar","26.0"
"Año 2009","Cataluña","Tarragona","Atestados policiales - por intervención directa policial","376.0"
"Año 2009","Cataluña","Tarragona","Parte de lesiones","177.0"
"Año 2009","Cataluña","Tarragona","Servicios asistencia-Terceros  en general","20.0"
"Año 2009","Comunidad Valenciana","Alicante","Presentada directamente por victima","248.0"
"Año 2009","Comunidad Valenciana","Alicante","Presentada directamente por familiares","178.0"
"Año 2009","Comunidad Valenciana","Alicante","Atestados policiales - con denuncia victima","4540.0"
"Año 2009","Comunidad Valenciana","Alicante","Atestados policiales - con denuncia familiar","76.0"
"Año 2009","Comunidad Valenciana","Alicante","Atestados policiales - por intervención directa policial","1108.0"
"Año 2009","Comunidad Valenciana","Alicante","Parte de lesiones","1474.0"
"Año 2009","Comunidad Valenciana","Alicante","Servicios asistencia-Terceros  en general","133.0"
"Año 2009","Comunidad Valenciana","Castellón","Presentada directamente por victima","24.0"
"Año 2009","Comunidad Valenciana","Castellón","Presentada directamente por familiares","0.0"
"Año 2009","Comunidad Valenciana","Castellón","Atestados policiales - con denuncia victima","1051.0"
"Año 2009","Comunidad Valenciana","Castellón","Atestados policiales - con denuncia familiar","25.0"
"Año 2009","Comunidad Valenciana","Castellón","Atestados policiales - por intervención directa policial","140.0"
"Año 2009","Comunidad Valenciana","Castellón","Parte de lesiones","412.0"
"Año 2009","Comunidad Valenciana","Castellón","Servicios asistencia-Terceros  en general","11.0"
"Año 2009","Comunidad Valenciana","Valencia","Presentada directamente por victima","1102.0"
"Año 2009","Comunidad Valenciana","Valencia","Presentada directamente por familiares","6.0"
"Año 2009","Comunidad Valenciana","Valencia","Atestados policiales - con denuncia victima","3851.0"
"Año 2009","Comunidad Valenciana","Valencia","Atestados policiales - con denuncia familiar","57.0"
"Año 2009","Comunidad Valenciana","Valencia","Atestados policiales - por intervención directa policial","2937.0"
"Año 2009","Comunidad Valenciana","Valencia","Parte de lesiones","1879.0"
"Año 2009","Comunidad Valenciana","Valencia","Servicios asistencia-Terceros  en general","98.0"
"Año 2009","Extremadura","Badajoz","Presentada directamente por victima","116.0"
"Año 2009","Extremadura","Badajoz","Presentada directamente por familiares","1.0"
"Año 2009","Extremadura","Badajoz","Atestados policiales - con denuncia victima","703.0"
"Año 2009","Extremadura","Badajoz","Atestados policiales - con denuncia familiar","4.0"
"Año 2009","Extremadura","Badajoz","Atestados policiales - por intervención directa policial","19.0"
"Año 2009","Extremadura","Badajoz","Parte de lesiones","29.0"
"Año 2009","Extremadura","Badajoz","Servicios asistencia-Terceros  en general","242.0"
"Año 2009","Extremadura","Cáceres","Presentada directamente por victima","208.0"
"Año 2009","Extremadura","Cáceres","Presentada directamente por familiares","0.0"
"Año 2009","Extremadura","Cáceres","Atestados policiales - con denuncia victima","304.0"
"Año 2009","Extremadura","Cáceres","Atestados policiales - con denuncia familiar","10.0"
"Año 2009","Extremadura","Cáceres","Atestados policiales - por intervención directa policial","38.0"
"Año 2009","Extremadura","Cáceres","Parte de lesiones","23.0"
"Año 2009","Extremadura","Cáceres","Servicios asistencia-Terceros  en general","5.0"
"Año 2009","Galicia","A Coruña","Presentada directamente por victima","56.0"
"Año 2009","Galicia","A Coruña","Presentada directamente por familiares","7.0"
"Año 2009","Galicia","A Coruña","Atestados policiales - con denuncia victima","1314.0"
"Año 2009","Galicia","A Coruña","Atestados policiales - con denuncia familiar","29.0"
"Año 2009","Galicia","A Coruña","Atestados policiales - por intervención directa policial","227.0"
"Año 2009","Galicia","A Coruña","Parte de lesiones","756.0"
"Año 2009","Galicia","A Coruña","Servicios asistencia-Terceros  en general","12.0"
"Año 2009","Galicia","Lugo","Presentada directamente por victima","37.0"
"Año 2009","Galicia","Lugo","Presentada directamente por familiares","1.0"
"Año 2009","Galicia","Lugo","Atestados policiales - con denuncia victima","409.0"
"Año 2009","Galicia","Lugo","Atestados policiales - con denuncia familiar","6.0"
"Año 2009","Galicia","Lugo","Atestados policiales - por intervención directa policial","24.0"
"Año 2009","Galicia","Lugo","Parte de lesiones","94.0"
"Año 2009","Galicia","Lugo","Servicios asistencia-Terceros  en general","10.0"
"Año 2009","Galicia","Ourense","Presentada directamente por victima","181.0"
"Año 2009","Galicia","Ourense","Presentada directamente por familiares","7.0"
"Año 2009","Galicia","Ourense","Atestados policiales - con denuncia victima","314.0"
"Año 2009","Galicia","Ourense","Atestados policiales - con denuncia familiar","4.0"
"Año 2009","Galicia","Ourense","Atestados policiales - por intervención directa policial","100.0"
"Año 2009","Galicia","Ourense","Parte de lesiones","13.0"
"Año 2009","Galicia","Ourense","Servicios asistencia-Terceros  en general","0.0"
"Año 2009","Galicia","Pontevedra","Presentada directamente por victima","411.0"
"Año 2009","Galicia","Pontevedra","Presentada directamente por familiares","7.0"
"Año 2009","Galicia","Pontevedra","Atestados policiales - con denuncia victima","1924.0"
"Año 2009","Galicia","Pontevedra","Atestados policiales - con denuncia familiar","6.0"
"Año 2009","Galicia","Pontevedra","Atestados policiales - por intervención directa policial","70.0"
"Año 2009","Galicia","Pontevedra","Parte de lesiones","45.0"
"Año 2009","Galicia","Pontevedra","Servicios asistencia-Terceros  en general","4.0"
"Año 2009","Comunidad de Madrid","Madrid","Presentada directamente por victima","1784.0"
"Año 2009","Comunidad de Madrid","Madrid","Presentada directamente por familiares","21.0"
"Año 2009","Comunidad de Madrid","Madrid","Atestados policiales - con denuncia victima","14694.0"
"Año 2009","Comunidad de Madrid","Madrid","Atestados policiales - con denuncia familiar","114.0"
"Año 2009","Comunidad de Madrid","Madrid","Atestados policiales - por intervención directa policial","3213.0"
"Año 2009","Comunidad de Madrid","Madrid","Parte de lesiones","877.0"
"Año 2009","Comunidad de Madrid","Madrid","Servicios asistencia-Terceros  en general","160.0"
"Año 2009","Región de Murcia","Murcia","Presentada directamente por victima","153.0"
"Año 2009","Región de Murcia","Murcia","Presentada directamente por familiares","3.0"
"Año 2009","Región de Murcia","Murcia","Atestados policiales - con denuncia victima","4207.0"
"Año 2009","Región de Murcia","Murcia","Atestados policiales - con denuncia familiar","113.0"
"Año 2009","Región de Murcia","Murcia","Atestados policiales - por intervención directa policial","821.0"
"Año 2009","Región de Murcia","Murcia","Parte de lesiones","749.0"
"Año 2009","Región de Murcia","Murcia","Servicios asistencia-Terceros  en general","39.0"
"Año 2009","Comunidad Foral de Navarra","Navarra","Presentada directamente por victima","49.0"
"Año 2009","Comunidad Foral de Navarra","Navarra","Presentada directamente por familiares","1.0"
"Año 2009","Comunidad Foral de Navarra","Navarra","Atestados policiales - con denuncia victima","944.0"
"Año 2009","Comunidad Foral de Navarra","Navarra","Atestados policiales - con denuncia familiar","25.0"
"Año 2009","Comunidad Foral de Navarra","Navarra","Atestados policiales - por intervención directa policial","102.0"
"Año 2009","Comunidad Foral de Navarra","Navarra","Parte de lesiones","97.0"
"Año 2009","Comunidad Foral de Navarra","Navarra","Servicios asistencia-Terceros  en general","18.0"
"Año 2009","País Vasco","Álava","Presentada directamente por victima","35.0"
"Año 2009","País Vasco","Álava","Presentada directamente por familiares","0.0"
"Año 2009","País Vasco","Álava","Atestados policiales - con denuncia victima","647.0"
"Año 2009","País Vasco","Álava","Atestados policiales - con denuncia familiar","2.0"
"Año 2009","País Vasco","Álava","Atestados policiales - por intervención directa policial","28.0"
"Año 2009","País Vasco","Álava","Parte de lesiones","27.0"
"Año 2009","País Vasco","Álava","Servicios asistencia-Terceros  en general","1.0"
"Año 2009","País Vasco","Guipúzcoa","Presentada directamente por victima","87.0"
"Año 2009","País Vasco","Guipúzcoa","Presentada directamente por familiares","13.0"
"Año 2009","País Vasco","Guipúzcoa","Atestados policiales - con denuncia victima","771.0"
"Año 2009","País Vasco","Guipúzcoa","Atestados policiales - con denuncia familiar","7.0"
"Año 2009","País Vasco","Guipúzcoa","Atestados policiales - por intervención directa policial","57.0"
"Año 2009","País Vasco","Guipúzcoa","Parte de lesiones","73.0"
"Año 2009","País Vasco","Guipúzcoa","Servicios asistencia-Terceros  en general","64.0"
"Año 2009","País Vasco","Vizcaya","Presentada directamente por victima","197.0"
"Año 2009","País Vasco","Vizcaya","Presentada directamente por familiares","9.0"
"Año 2009","País Vasco","Vizcaya","Atestados policiales - con denuncia victima","1581.0"
"Año 2009","País Vasco","Vizcaya","Atestados policiales - con denuncia familiar","58.0"
"Año 2009","País Vasco","Vizcaya","Atestados policiales - por intervención directa policial","286.0"
"Año 2009","País Vasco","Vizcaya","Parte de lesiones","39.0"
"Año 2009","País Vasco","Vizcaya","Servicios asistencia-Terceros  en general","76.0"
"Año 2009","La Rioja","La Rioja","Presentada directamente por victima","73.0"
"Año 2009","La Rioja","La Rioja","Presentada directamente por familiares","1.0"
"Año 2009","La Rioja","La Rioja","Atestados policiales - con denuncia victima","515.0"
"Año 2009","La Rioja","La Rioja","Atestados policiales - con denuncia familiar","14.0"
"Año 2009","La Rioja","La Rioja","Atestados policiales - por intervención directa policial","106.0"
"Año 2009","La Rioja","La Rioja","Parte de lesiones","84.0"
"Año 2009","La Rioja","La Rioja","Servicios asistencia-Terceros  en general","41.0"
"Año 2009","Ceuta","Ceuta","Presentada directamente por victima","11.0"
"Año 2009","Ceuta","Ceuta","Presentada directamente por familiares","0.0"
"Año 2009","Ceuta","Ceuta","Atestados policiales - con denuncia victima","216.0"
"Año 2009","Ceuta","Ceuta","Atestados policiales - con denuncia familiar","2.0"
"Año 2009","Ceuta","Ceuta","Atestados policiales - por intervención directa policial","68.0"
